Subject,Session,Trials Measured,Trials Meta,Electrodes,Region Mapping
6,1,50,50,64,"{'Amygdala': array([16, 17, 26, 34], dtype=int64), 'Fusiform Gyrus': array([ 9, 10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  3,  8, 24, 25, 32, 33, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([63], dtype=int64), 'Insular Gyrus': array([28], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 13, 14, 15, 21, 22, 23, 46, 47, 54, 55], dtype=int64), 'Parahippocampal Gyrus': array([40], dtype=int64), 'Superior Temporal Gyrus': array([19, 29, 30, 31, 36, 38, 39, 45], dtype=int64), 'unspecific': array([ 4, 11, 12, 18, 20, 27, 35, 37, 41, 42, 43, 44, 50, 51, 52, 53, 58,
       59, 60, 61, 62], dtype=int64)}"
6,2,50,50,64,"{'Amygdala': array([16, 17, 26, 34], dtype=int64), 'Fusiform Gyrus': array([ 9, 10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  3,  8, 24, 25, 32, 33, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([63], dtype=int64), 'Insular Gyrus': array([28], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 13, 14, 15, 21, 22, 23, 46, 47, 54, 55], dtype=int64), 'Parahippocampal Gyrus': array([40], dtype=int64), 'Superior Temporal Gyrus': array([19, 29, 30, 31, 36, 38, 39, 45], dtype=int64), 'unspecific': array([ 4, 11, 12, 18, 20, 27, 35, 37, 41, 42, 43, 44, 50, 51, 52, 53, 58,
       59, 60, 61, 62], dtype=int64)}"
6,3,49,49,64,"{'Amygdala': array([16, 17, 26, 34], dtype=int64), 'Fusiform Gyrus': array([ 9, 10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  3,  8, 24, 25, 32, 33, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([63], dtype=int64), 'Insular Gyrus': array([28], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 13, 14, 15, 21, 22, 23, 46, 47, 54, 55], dtype=int64), 'Parahippocampal Gyrus': array([40], dtype=int64), 'Superior Temporal Gyrus': array([19, 29, 30, 31, 36, 38, 39, 45], dtype=int64), 'unspecific': array([ 4, 11, 12, 18, 20, 27, 35, 37, 41, 42, 43, 44, 50, 51, 52, 53, 58,
       59, 60, 61, 62], dtype=int64)}"
6,4,50,50,64,"{'Amygdala': array([16, 17, 26, 34], dtype=int64), 'Fusiform Gyrus': array([ 9, 10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  3,  8, 24, 25, 32, 33, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([63], dtype=int64), 'Insular Gyrus': array([28], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 13, 14, 15, 21, 22, 23, 46, 47, 54, 55], dtype=int64), 'Parahippocampal Gyrus': array([40], dtype=int64), 'Superior Temporal Gyrus': array([19, 29, 30, 31, 36, 38, 39, 45], dtype=int64), 'unspecific': array([ 4, 11, 12, 18, 20, 27, 35, 37, 41, 42, 43, 44, 50, 51, 52, 53, 58,
       59, 60, 61, 62], dtype=int64)}"
6,5,50,50,64,"{'Amygdala': array([16, 17, 26, 34], dtype=int64), 'Fusiform Gyrus': array([ 9, 10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  3,  8, 24, 25, 32, 33, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([63], dtype=int64), 'Insular Gyrus': array([28], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 13, 14, 15, 21, 22, 23, 46, 47, 54, 55], dtype=int64), 'Parahippocampal Gyrus': array([40], dtype=int64), 'Superior Temporal Gyrus': array([19, 29, 30, 31, 36, 38, 39, 45], dtype=int64), 'unspecific': array([ 4, 11, 12, 18, 20, 27, 35, 37, 41, 42, 43, 44, 50, 51, 52, 53, 58,
       59, 60, 61, 62], dtype=int64)}"
6,6,50,50,64,"{'Amygdala': array([16, 17, 26, 34], dtype=int64), 'Fusiform Gyrus': array([ 9, 10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  3,  8, 24, 25, 32, 33, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([63], dtype=int64), 'Insular Gyrus': array([28], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 13, 14, 15, 21, 22, 23, 46, 47, 54, 55], dtype=int64), 'Parahippocampal Gyrus': array([40], dtype=int64), 'Superior Temporal Gyrus': array([19, 29, 30, 31, 36, 38, 39, 45], dtype=int64), 'unspecific': array([ 4, 11, 12, 18, 20, 27, 35, 37, 41, 42, 43, 44, 50, 51, 52, 53, 58,
       59, 60, 61, 62], dtype=int64)}"
6,7,50,50,64,"{'Amygdala': array([16, 17, 26, 34], dtype=int64), 'Fusiform Gyrus': array([ 9, 10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  3,  8, 24, 25, 32, 33, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([63], dtype=int64), 'Insular Gyrus': array([28], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 13, 14, 15, 21, 22, 23, 46, 47, 54, 55], dtype=int64), 'Parahippocampal Gyrus': array([40], dtype=int64), 'Superior Temporal Gyrus': array([19, 29, 30, 31, 36, 38, 39, 45], dtype=int64), 'unspecific': array([ 4, 11, 12, 18, 20, 27, 35, 37, 41, 42, 43, 44, 50, 51, 52, 53, 58,
       59, 60, 61, 62], dtype=int64)}"
7,1,49,49,64,"{'Amygdala': array([16, 17, 18, 24, 25, 26], dtype=int64), 'Fusiform Gyrus': array([10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  8,  9, 32, 33, 34, 48, 49, 50, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([11, 12, 13, 14, 60, 61], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 23, 29, 30, 31, 38, 39, 45, 46, 53, 54, 55, 62],
      dtype=int64), 'Parahippocampal Gyrus': array([40, 41], dtype=int64), 'Superior Temporal Gyrus': array([21, 22], dtype=int64), 'unspecific': array([ 3,  4, 15, 19, 20, 27, 28, 35, 36, 37, 42, 43, 44, 47, 51, 52, 58,
       59, 63], dtype=int64)}"
7,2,48,48,64,"{'Amygdala': array([16, 17, 18, 24, 25, 26], dtype=int64), 'Fusiform Gyrus': array([10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  8,  9, 32, 33, 34, 48, 49, 50, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([11, 12, 13, 14, 60, 61], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 23, 29, 30, 31, 38, 39, 45, 46, 53, 54, 55, 62],
      dtype=int64), 'Parahippocampal Gyrus': array([40, 41], dtype=int64), 'Superior Temporal Gyrus': array([21, 22], dtype=int64), 'unspecific': array([ 3,  4, 15, 19, 20, 27, 28, 35, 36, 37, 42, 43, 44, 47, 51, 52, 58,
       59, 63], dtype=int64)}"
7,3,50,50,64,"{'Amygdala': array([16, 17, 18, 24, 25, 26], dtype=int64), 'Fusiform Gyrus': array([10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  8,  9, 32, 33, 34, 48, 49, 50, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([11, 12, 13, 14, 60, 61], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 23, 29, 30, 31, 38, 39, 45, 46, 53, 54, 55, 62],
      dtype=int64), 'Parahippocampal Gyrus': array([40, 41], dtype=int64), 'Superior Temporal Gyrus': array([21, 22], dtype=int64), 'unspecific': array([ 3,  4, 15, 19, 20, 27, 28, 35, 36, 37, 42, 43, 44, 47, 51, 52, 58,
       59, 63], dtype=int64)}"
7,4,50,50,64,"{'Amygdala': array([16, 17, 18, 24, 25, 26], dtype=int64), 'Fusiform Gyrus': array([10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  8,  9, 32, 33, 34, 48, 49, 50, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([11, 12, 13, 14, 60, 61], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 23, 29, 30, 31, 38, 39, 45, 46, 53, 54, 55, 62],
      dtype=int64), 'Parahippocampal Gyrus': array([40, 41], dtype=int64), 'Superior Temporal Gyrus': array([21, 22], dtype=int64), 'unspecific': array([ 3,  4, 15, 19, 20, 27, 28, 35, 36, 37, 42, 43, 44, 47, 51, 52, 58,
       59, 63], dtype=int64)}"
7,5,50,50,64,"{'Amygdala': array([16, 17, 18, 24, 25, 26], dtype=int64), 'Fusiform Gyrus': array([10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  8,  9, 32, 33, 34, 48, 49, 50, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([11, 12, 13, 14, 60, 61], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 23, 29, 30, 31, 38, 39, 45, 46, 53, 54, 55, 62],
      dtype=int64), 'Parahippocampal Gyrus': array([40, 41], dtype=int64), 'Superior Temporal Gyrus': array([21, 22], dtype=int64), 'unspecific': array([ 3,  4, 15, 19, 20, 27, 28, 35, 36, 37, 42, 43, 44, 47, 51, 52, 58,
       59, 63], dtype=int64)}"
7,6,50,50,64,"{'Amygdala': array([16, 17, 18, 24, 25, 26], dtype=int64), 'Fusiform Gyrus': array([10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  8,  9, 32, 33, 34, 48, 49, 50, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([11, 12, 13, 14, 60, 61], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 23, 29, 30, 31, 38, 39, 45, 46, 53, 54, 55, 62],
      dtype=int64), 'Parahippocampal Gyrus': array([40, 41], dtype=int64), 'Superior Temporal Gyrus': array([21, 22], dtype=int64), 'unspecific': array([ 3,  4, 15, 19, 20, 27, 28, 35, 36, 37, 42, 43, 44, 47, 51, 52, 58,
       59, 63], dtype=int64)}"
8,1,50,50,62,"{'Amygdala': array([15, 16, 24], dtype=int64), 'Fusiform Gyrus': array([ 8, 41, 42], dtype=int64), 'Hippocampus': array([ 0,  1,  7, 23, 47, 55, 56], dtype=int64), 'Inferior Temporal Gyrus': array([ 9, 11, 12, 44, 45], dtype=int64), 'Middle Temporal Gyrus': array([ 4,  5,  6, 13, 20, 21, 22, 28, 29, 36, 37, 38, 46, 50, 51, 52, 53,
       58, 59, 60, 61], dtype=int64), 'Parahippocampal Gyrus': array([31, 32, 39, 40], dtype=int64), 'Superior Temporal Gyrus': array([18], dtype=int64), 'unspecific': array([ 2,  3, 10, 14, 17, 19, 25, 26, 27, 30, 33, 34, 35, 43, 48, 49, 54,
       57], dtype=int64)}"
8,2,50,50,62,"{'Amygdala': array([15, 16, 24], dtype=int64), 'Fusiform Gyrus': array([ 8, 41, 42], dtype=int64), 'Hippocampus': array([ 0,  1,  7, 23, 47, 55, 56], dtype=int64), 'Inferior Temporal Gyrus': array([ 9, 11, 12, 44, 45], dtype=int64), 'Middle Temporal Gyrus': array([ 4,  5,  6, 13, 20, 21, 22, 28, 29, 36, 37, 38, 46, 50, 51, 52, 53,
       58, 59, 60, 61], dtype=int64), 'Parahippocampal Gyrus': array([31, 32, 39, 40], dtype=int64), 'Superior Temporal Gyrus': array([18], dtype=int64), 'unspecific': array([ 2,  3, 10, 14, 17, 19, 25, 26, 27, 30, 33, 34, 35, 43, 48, 49, 54,
       57], dtype=int64)}"
8,3,50,50,62,"{'Amygdala': array([15, 16, 24], dtype=int64), 'Fusiform Gyrus': array([ 8, 41, 42], dtype=int64), 'Hippocampus': array([ 0,  1,  7, 23, 47, 55, 56], dtype=int64), 'Inferior Temporal Gyrus': array([ 9, 11, 12, 44, 45], dtype=int64), 'Middle Temporal Gyrus': array([ 4,  5,  6, 13, 20, 21, 22, 28, 29, 36, 37, 38, 46, 50, 51, 52, 53,
       58, 59, 60, 61], dtype=int64), 'Parahippocampal Gyrus': array([31, 32, 39, 40], dtype=int64), 'Superior Temporal Gyrus': array([18], dtype=int64), 'unspecific': array([ 2,  3, 10, 14, 17, 19, 25, 26, 27, 30, 33, 34, 35, 43, 48, 49, 54,
       57], dtype=int64)}"
8,4,50,50,62,"{'Amygdala': array([15, 16, 24], dtype=int64), 'Fusiform Gyrus': array([ 8, 41, 42], dtype=int64), 'Hippocampus': array([ 0,  1,  7, 23, 47, 55, 56], dtype=int64), 'Inferior Temporal Gyrus': array([ 9, 11, 12, 44, 45], dtype=int64), 'Middle Temporal Gyrus': array([ 4,  5,  6, 13, 20, 21, 22, 28, 29, 36, 37, 38, 46, 50, 51, 52, 53,
       58, 59, 60, 61], dtype=int64), 'Parahippocampal Gyrus': array([31, 32, 39, 40], dtype=int64), 'Superior Temporal Gyrus': array([18], dtype=int64), 'unspecific': array([ 2,  3, 10, 14, 17, 19, 25, 26, 27, 30, 33, 34, 35, 43, 48, 49, 54,
       57], dtype=int64)}"
9,1,49,49,64,"{'Amygdala': array([16, 18, 24], dtype=int64), 'Fusiform Gyrus': array([11, 41, 42], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  8,  9, 17, 48, 49, 50, 56, 57, 58], dtype=int64), 'Inferior Temporal Gyrus': array([43, 44, 45, 46, 61, 62], dtype=int64), 'Middle Temporal Gyrus': array([ 7, 14, 15, 22, 23, 30, 31, 37, 38, 39, 47, 54, 55, 63],
      dtype=int64), 'Parahippocampal Gyrus': array([32, 33, 40], dtype=int64), 'Superior Temporal Gyrus': array([27, 28, 29], dtype=int64), 'unspecific': array([ 3,  4,  5,  6, 10, 12, 13, 19, 20, 21, 25, 26, 34, 35, 36, 51, 52,
       53, 59, 60], dtype=int64)}"
9,2,48,48,64,"{'Amygdala': array([16, 18, 24], dtype=int64), 'Fusiform Gyrus': array([11, 41, 42], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  8,  9, 17, 48, 49, 50, 56, 57, 58], dtype=int64), 'Inferior Temporal Gyrus': array([43, 44, 45, 46, 61, 62], dtype=int64), 'Middle Temporal Gyrus': array([ 7, 14, 15, 22, 23, 30, 31, 37, 38, 39, 47, 54, 55, 63],
      dtype=int64), 'Parahippocampal Gyrus': array([32, 33, 40], dtype=int64), 'Superior Temporal Gyrus': array([27, 28, 29], dtype=int64), 'unspecific': array([ 3,  4,  5,  6, 10, 12, 13, 19, 20, 21, 25, 26, 34, 35, 36, 51, 52,
       53, 59, 60], dtype=int64)}"
9,3,48,48,64,"{'Amygdala': array([16, 18, 24], dtype=int64), 'Fusiform Gyrus': array([11, 41, 42], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  8,  9, 17, 48, 49, 50, 56, 57, 58], dtype=int64), 'Inferior Temporal Gyrus': array([43, 44, 45, 46, 61, 62], dtype=int64), 'Middle Temporal Gyrus': array([ 7, 14, 15, 22, 23, 30, 31, 37, 38, 39, 47, 54, 55, 63],
      dtype=int64), 'Parahippocampal Gyrus': array([32, 33, 40], dtype=int64), 'Superior Temporal Gyrus': array([27, 28, 29], dtype=int64), 'unspecific': array([ 3,  4,  5,  6, 10, 12, 13, 19, 20, 21, 25, 26, 34, 35, 36, 51, 52,
       53, 59, 60], dtype=int64)}"
9,4,49,49,64,"{'Amygdala': array([16, 18, 24], dtype=int64), 'Fusiform Gyrus': array([11, 41, 42], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  8,  9, 17, 48, 49, 50, 56, 57, 58], dtype=int64), 'Inferior Temporal Gyrus': array([43, 44, 45, 46, 61, 62], dtype=int64), 'Middle Temporal Gyrus': array([ 7, 14, 15, 22, 23, 30, 31, 37, 38, 39, 47, 54, 55, 63],
      dtype=int64), 'Parahippocampal Gyrus': array([32, 33, 40], dtype=int64), 'Superior Temporal Gyrus': array([27, 28, 29], dtype=int64), 'unspecific': array([ 3,  4,  5,  6, 10, 12, 13, 19, 20, 21, 25, 26, 34, 35, 36, 51, 52,
       53, 59, 60], dtype=int64)}"
